subject,task,task_display,group,value
sub-004,j1,J1,Default,0.3891299409695411
sub-004,j2,J2,Subcortical,0.3531008850596926
sub-004,j2,J2,Visual,0.3976799896113765
sub-004,j2,J2,Somato-Motor,0.4780089980787096
sub-004,j2,J2,Dorsal Attention,0.5175554391235919
sub-004,j2,J2,Salience/Ventral Attention,0.5091616542403009
sub-004,j2,J2,Limbic,0.28569067027746636
sub-004,j2,J2,Control,0.45688562324233944
sub-004,j2,J2,Default,0.42357169481241785
sub-004,j3,J3,Subcortical,0.2315171105796848
sub-004,j3,J3,Visual,0.29077765727299865
sub-004,j3,J3,Somato-Motor,0.3141136587904273
sub-004,j3,J3,Dorsal Attention,0.3138161436549803
sub-004,j3,J3,Salience/Ventral Attention,0.34741962293000844
sub-004,j3,J3,Limbic,0.19312354519526206
sub-004,j3,J3,Control,0.2893875548416815
sub-004,j3,J3,Default,0.286371383768896
sub-004,j4,J4,Subcortical,0.20550826723145363
sub-004,j4,J4,Visual,0.3447850509063569
sub-004,j4,J4,Somato-Motor,0.33239685883411496
sub-004,j4,J4,Dorsal Attention,0.36440134824580556
sub-004,j4,J4,Salience/Ventral Attention,0.3590732402979794
sub-004,j4,J4,Limbic,0.17101563209240453
sub-004,j4,J4,Control,0.3292853449261377
sub-004,j4,J4,Default,0.2677029921309069
sub-004,j5,J5,Subcortical,0.15425406379145576
sub-004,j5,J5,Visual,0.2560367092368388
sub-004,j5,J5,Somato-Motor,0.1888162807810949
sub-004,j5,J5,Dorsal Attention,0.3224923729456023
sub-004,j5,J5,Salience/Ventral Attention,0.2646893024936693
sub-004,j5,J5,Limbic,0.11830431354671544
sub-004,j5,J5,Control,0.27861258799080163
sub-004,j5,J5,Default,0.226334004158239
sub-004,j6,J6,Subcortical,0.27474693907963255
sub-004,j6,J6,Visual,0.2694890243194422
sub-004,j6,J6,Somato-Motor,0.37084998252982737
sub-004,j6,J6,Dorsal Attention,0.4181490334124006
sub-004,j6,J6,Salience/Ventral Attention,0.4230865209655161
sub-004,j6,J6,Limbic,0.2690906261342974
sub-004,j6,J6,Control,0.3667679595199064
sub-004,j6,J6,Default,0.336122162462898
sub-004,j7,J7,Subcortical,0.29721272962383444
sub-004,j7,J7,Visual,0.3755693716894104
sub-004,j7,J7,Somato-Motor,0.3656784806164622
sub-004,j7,J7,Dorsal Attention,0.4308361898921241
sub-004,j7,J7,Salience/Ventral Attention,0.3910496391519574
sub-004,j7,J7,Limbic,0.26351512440194147
sub-004,j7,J7,Control,0.421796443596132
